"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2008-01-02T00:00:00.000Z""","USA","Orlando Sanford, Florida","BOEING 757 200","G-CEJM","","","GBR","En route","Incident",0,true,true,true,"None","ST75",false,true,1,"Piston","","[""SCF-PP""]","SCF",2008
"""2008-01-03T00:00:00.000Z""","FRA","AD Deauville (14)","BOEING 737","CN-RMX","Morocco Other",,"MAR","Landing","Serious incident",0,true,true,false,"None","B37M",false,true,2,"Jet","","[""RE"",""ADRM"",""LOC-G""]","RS",2008
"""2008-01-04T00:00:00.000Z""","","Fort Smith , NWT","BAE JETSTREAM3100","C-FNAE","Canada Northwestern Air Lease Ltd.","CAN","CAN","Landing","Serious incident",0,true,true,true,"None","JS32",false,true,2,"Turboprop","","[""RE""]","RS",2008
"""2008-01-05T00:00:00.000Z""","AUS","Paraburdoo Aerodrome, NNE M 74","BEECH 200","VH-CWO"," ",,"AUS","En route","Serious incident",0,true,false,"","None","BE20",false,true,2,"Turboprop","","[""SCF-NP"",""OTHR""]","SCF",2008
"""2008-01-05T00:00:00.000Z""","DEU","Schkaudiz, Sachsen","","D-HOFF","Germany ADAC-Luftrettung GmbH","","DEU","En route","Serious incident",0,true,false,"","None","MS30",false,true,1,"Piston","","[""SCF-NP""]","SCF",2008
"""2008-01-06T00:00:00.000Z""","ZAF","Johanesburg (One hour from)","BOEING 747 400","PH-BFL","Netherlands K.l.m. Royal Dutch Airlines N.v.","NLD","NLD","En route","Incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""F-NI"",""SCF-PP""]","SCF",2008
"""2008-01-07T00:00:00.000Z""","AUS","near Orange Aerodrome","SAAB 340","VH-EKX","","","AUS","Manoeuvring","Serious incident",0,true,true,true,"None","SF34",false,true,2,"Turboprop","","[""MAC""]","OTH",2008
"""2008-01-07T00:00:00.000Z""","THA","Bangkok Aerodrome NNW 25km","BOEING 747 400","VH-OJM","Australia Qantas Airways Limited","AUS","AUS","Approach","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""SCF-NP""]","SCF",2008
"""2008-01-08T00:00:00.000Z""","AUS","Moree Aerodrome, NSW","AIR TRACTOR AT802","VH-LHW","",,"AUS","En route","Incident",0,true,true,"","None","AT8T",false,true,1,"Turboprop","","[""SCF-NP"",""OTHR""]","SCF",2008
"""2008-01-08T00:00:00.000Z""","DZA","Algiers","AIRBUS A320","F-GUAA","","","FRA","Landing","Incident",0,true,true,true,"None","A320",false,true,2,"Jet","","[""ARC""]","RS",2008
"""2008-01-08T00:00:00.000Z""","USA","Lincoln","BOEING 737 200","N733TW","",,"USA","Taxi","Serious incident",0,true,true,false,"None","B37M",false,true,2,"Jet","","[""SCF-NP"",""LOC-G""]","RS",2008
"""2008-01-09T00:00:00.000Z""","NOR","In flight, over North Sea","SIKORSKY S92","LN-OQC","","","NOR","En route","Incident",0,true,true,false,"None","S92",true,false,2,"Turboprop","","[""WSTRW""]","OTH",2008
"""2008-01-09T00:00:00.000Z""","AUS","Moorabin Airport, 12nm","","C-FKGT"," ","","CAN","Manoeuvring","Incident",0,true,false,"","None","DUB2",false,true,1,"Piston","","[""LALT""]","OTH",2008
